City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Daru,PG,-9.0763,143.2092,77.86,87,100,9.15,overcast clouds
80,Toamasina,MG,-18.1667,49.3833,80.6,83,40,5.75,scattered clouds
81,Faanui,PF,-16.4833,-151.75,80.02,75,12,10.31,few clouds
82,Bengkulu,ID,-3.8004,102.2655,77.07,88,100,3.83,overcast clouds
83,Ossora,RU,59.2353,163.0719,28.02,96,100,16.71,snow
84,Quatre Cocos,MU,-20.2078,57.7625,82.51,81,22,13.02,light rain
85,Odweyne,SO,9.4092,45.064,66.6,60,42,13.44,scattered clouds
86,Ayame,CI,5.6083,-3.1563,97.54,24,41,6.17,scattered clouds
87,Lorengau,PG,-2.0226,147.2712,80.55,80,100,10.38,light rain
88,Port Maria,JM,18.3685,-76.8895,82.96,76,46,8.55,scattered clouds
89,Guilin,CN,25.2819,110.2864,39.31,87,79,4.83,broken clouds
90,Araouane,ML,18.9048,-3.5265,84.31,9,94,13.49,overcast clouds
91,Severo-Kurilsk,RU,50.6789,156.125,23.36,68,100,20.69,overcast clouds
92,Port-Cartier,CA,50.0334,-66.8654,2.75,76,88,4.92,overcast clouds
93,Guatire,VE,10.4762,-66.5427,80.2,40,63,4.83,broken clouds
94,Batagay,RU,67.6333,134.6333,-36.17,99,99,3.06,overcast clouds
95,Thompson,CA,55.7435,-97.8558,-11.04,77,20,2.3,few clouds
96,Sandviken,SE,60.6167,16.7667,41.92,91,100,8.28,light rain
97,Upernavik,GL,72.7868,-56.1549,8.55,90,100,14.61,overcast clouds
98,Atambua,ID,-9.1061,124.8925,74.66,89,100,5.91,overcast clouds
99,Asasa,ET,7.1,39.2,62.01,29,75,2.24,broken clouds
100,Chokurdakh,RU,70.6333,147.9167,-10.62,83,100,3.85,overcast clouds
101,Altamira,BR,-3.2033,-52.2064,77.09,88,100,3.44,very heavy rain
102,Vila,PT,42.0304,-8.1588,55.71,20,1,2.89,clear sky
103,Sa Kaeo,TH,13.75,102.3333,79.5,71,19,4.38,few clouds
104,Pringsewu,ID,-5.3582,104.9744,73.81,96,93,2.95,overcast clouds
105,Darnah,LY,32.767,22.6367,56.53,68,75,25.23,broken clouds
106,Ayan,RU,56.45,138.1667,0.54,82,100,16.89,overcast clouds
107,Kruisfontein,ZA,-34.0033,24.7314,76.89,59,0,14.63,clear sky
108,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,84.02,64,92,9.89,overcast clouds
109,Avarua,CK,-21.2078,-159.775,75.25,88,50,4.61,scattered clouds
110,Wewak,PG,-3.5534,143.6268,78.67,85,95,10.74,overcast clouds
111,Nelson Bay,AU,-32.7167,152.15,74.08,84,93,1.01,overcast clouds
112,Mabaruma,GY,8.2,-59.7833,82.4,69,75,9.22,broken clouds
113,Meulaboh,ID,4.1363,96.1285,78.4,87,91,1.01,light rain
