City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
535,Kresek,ID,80.56,overcast clouds,-6.1314,106.3797,Kamar aldi
536,Amapa,BR,77.09,overcast clouds,1.0,-52.0,
537,Lata,PT,65.91,clear sky,40.1629,-8.3327,Casa Maquia
540,Majene,ID,78.62,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
542,San Juan,AR,88.09,clear sky,-31.5375,-68.5364,Hotel Provincial
543,Buala,SB,79.9,light rain,-8.145,159.5921,Maringe Lagoon Lodge
552,Voh,NC,78.55,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
554,Kununurra,AU,78.78,heavy intensity rain,-15.7667,128.7333,Hotel Kununurra
555,Cayenne,GF,86.04,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
556,Mutoko,ZW,67.98,broken clouds,-17.397,32.2268,Mutoko Hotel
559,Tagusao,PH,78.48,scattered clouds,9.1924,117.8141,Green Villa beach resort
561,Plettenberg Bay,ZA,68.05,clear sky,-34.0527,23.3716,Thanda Vista B&B
562,Harer,ET,63.01,broken clouds,9.3094,42.1258,Amir Cultural Harari Guesthouse
564,Sao Joao Da Barra,BR,91.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
566,Ternate,ID,80.08,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
568,Manakara,MG,75.79,clear sky,-22.1333,48.0167,La Residence Manakara
570,Santa Isabel Do Rio Negro,BR,84.04,light rain,-0.4139,-65.0192,Hotel GSA
574,Tandil,AR,84.31,clear sky,-37.3217,-59.1332,Hostal de la Sierra Tandil
575,Luwuk,ID,77.18,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
576,Biak,ID,76.12,overcast clouds,-0.9131,122.8766,Penginapan Kim
578,Mahibadhoo,MV,81.95,broken clouds,3.7833,72.9667,Omadhoo Inn
581,Denpasar,ID,82.06,light rain,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
583,Hunterville,NZ,60.24,clear sky,-39.9333,175.5667,Argyle Hotel
584,Matara,LK,78.82,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
585,Conceicao Do Araguaia,BR,79.47,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
586,Jiazi,CN,60.06,broken clouds,22.8779,116.067,Hotel Jin Hao
590,Tarauaca,BR,81.55,overcast clouds,-8.1614,-70.7656,Flat Temporada
591,Lasem,ID,77.81,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
594,Pochutla,MX,82.81,clear sky,15.7432,-96.4661,Hotel Posada San Jose
596,Kirakira,SB,78.87,overcast clouds,-10.4544,161.9205,SanBiz Lodge
598,Port Macquarie,AU,66.88,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
599,Saint-Leu,RE,79.66,light rain,-21.15,55.2833,La Caz Oceane
602,Tamandare,BR,84.74,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
604,Areia Branca,BR,84.2,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
